,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19
346,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
347,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
348,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
349,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
350,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
351,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
352,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
353,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
354,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
355,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
356,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
357,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
358,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
359,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
360,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
361,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
362,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
363,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
364,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
365,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
366,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
367,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
368,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
369,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
370,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
371,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
372,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
373,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
374,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
376,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
377,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
378,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
379,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
380,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
381,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
382,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
383,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
384,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
385,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
386,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
387,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
388,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
389,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
390,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
391,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
392,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
393,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
395,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
396,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
397,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
398,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
